Letters  |Std Dstrb|CyphDstrb|Std %|Cyph %
    a    |0.0651738|0.0181818| 6.52| 1.82
    b    |0.0124248|0.0467532| 1.24| 4.68
    c    |0.0217339|0.0649351| 2.17| 6.49
    d    |0.0349835|0.0103896| 3.50| 1.04
    e    |0.1041442|0.0545455|10.41| 5.45
    f    |0.0197881|0.0779221| 1.98| 7.79
    g    |0.0158610|0.0259740| 1.59| 2.60
    h    |0.0492888|0.0000000| 4.93| 0.00
    i    |0.0558094|0.0259740| 5.58| 2.60
    j    |0.0009033|0.0441558| 0.09| 4.42
    k    |0.0050529|0.0753247| 0.51| 7.53
    l    |0.0331490|0.0311688| 3.31| 3.12
    m    |0.0202124|0.0259740| 2.02| 2.60
    n    |0.0564513|0.0831169| 5.65| 8.31
    o    |0.0596302|0.0000000| 5.96| 0.00
    p    |0.0137645|0.0805195| 1.38| 8.05
    q    |0.0008606|0.0129870| 0.09| 1.30
    r    |0.0497563|0.0129870| 4.98| 1.30
    s    |0.0515760|0.0000000| 5.16| 0.00
    t    |0.0729357|0.0103896| 7.29| 1.04
    u    |0.0225134|0.0649351| 2.25| 6.49
    v    |0.0082903|0.0181818| 0.83| 1.82
    w    |0.0171272|0.0025974| 1.71| 0.26
    x    |0.0013692|0.0181818| 0.14| 1.82
    y    |0.0145984|0.0597403| 1.46| 5.97
    z    |0.0007836|0.1350649| 0.08|13.51
